Date,Country,Confirmed,Deaths,NewCases,Recovered
2020-01-22,USA,,,,
2020-01-23,USA,,,0.0,
2020-01-24,USA,,,1.0,
2020-01-25,USA,,,0.0,
2020-01-26,USA,,,3.0,
2020-01-27,USA,,,0.0,
2020-01-28,USA,,,0.0,
2020-01-29,USA,,,0.0,
2020-01-30,USA,,,0.0,
2020-01-31,USA,,,1.0,
2020-02-01,USA,,,2.0,
2020-02-02,USA,,,0.0,
2020-02-03,USA,,,3.0,
2020-02-04,USA,,,0.0,
2020-02-05,USA,,,1.0,
2020-02-06,USA,,,0.0,
2020-02-07,USA,,,0.0,
2020-02-08,USA,,,0.0,
2020-02-09,USA,,,0.0,
2020-02-10,USA,,,0.0,
2020-02-11,USA,,,1.0,
2020-02-12,USA,,,0.0,
2020-02-13,USA,,,2.0,
2020-02-14,USA,,,0.0,
2020-02-15,USA,,,0.0,
2020-02-16,USA,,,0.0,
2020-02-17,USA,,,0.0,
2020-02-18,USA,,,0.0,
2020-02-19,USA,,,0.0,
2020-02-20,USA,,,0.0,
2020-02-21,USA,,,20.0,
2020-02-22,USA,,,0.0,
2020-02-23,USA,,,0.0,
2020-02-24,USA,,,18.0,
2020-02-25,USA,,,0.0,
2020-02-26,USA,,,6.0,
2020-02-27,USA,,,1.0,
2020-02-28,USA,,,2.0,
2020-02-29,USA,,,8.0,
2020-03-01,USA,,,6.0,
2020-03-02,USA,,,25.0,
2020-03-03,USA,,,21.0,
2020-03-04,USA,,,31.0,
2020-03-05,USA,,,68.0,
2020-03-06,USA,,,57.0,
2020-03-07,USA,,,139.0,
2020-03-08,USA,,,120.0,
2020-03-09,USA,,,68.0,
2020-03-10,USA,,,354.0,
2020-03-11,USA,,,322.0,
2020-03-12,USA,,,382.0,
2020-03-13,USA,,,516.0,
2020-03-14,USA,,,547.0,
2020-03-15,USA,,,773.0,
2020-03-16,USA,,,1133.0,
2020-03-17,USA,,,1789.0,
2020-03-18,USA,,,1365.0,
2020-03-19,USA,,,5894.0,
2020-03-20,USA,,,5421.0,
2020-03-21,USA,,,6413.0,
2020-03-22,USA,,,8334.0,
